,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
0,1,60.0,0.0,36.0,10.0824004959404,1512
1,1a,69.0,6.0,39.0,9.126794492748926,
2,1b,42.0,-12.0,42.0,7.525517640015846,
3,2,-63.0,-6.0,42.0,9.987308887366959,4239
4,2a,-51.0,-12.0,39.0,8.877129146309956,
5,2b,-63.0,6.0,36.0,8.855162407808423,
6,2c,-63.0,18.0,33.0,8.597630286725677,
7,3,66.0,15.0,27.0,8.765653132127891,864
8,3a,51.0,3.0,30.0,7.2428744791112205,
9,4,33.0,-6.0,12.0,7.228047696831002,1134
10,5,-60.0,-21.0,33.0,5.744631723995649,540
11,5a,-63.0,-21.0,42.0,5.7085125205840335,
12,5b,-63.0,-21.0,21.0,5.70652942019522,
